ticket,latitude,longitude
20583,41.815545,-87.69081
20584,41.900575,-87.696901
20585,41.830372,-87.68143
20586,41.911148,-87.638639
20587,41.790842,-87.622408
20588,41.883677,-87.693992
20589,41.764226,-87.580604
20590,41.754561,-87.55502
20591,41.832746,-87.620598
20592,41.705333,-87.61497
20593,41.737111,-87.575636
20594,41.791378,-87.73295
20595,41.937368,-87.695428
20596,41.821426,-87.62751
20597,41.875338,-87.661892
20598,41.805031,-87.664964
20599,41.951915,-87.716582
20600,41.983038,-87.773208
20601,41.969704,-87.767614
20602,41.94182,-87.652204
20603,41.749949,-87.684142
20604,41.842529,-87.70744
20605,41.995671,-87.793647
20606,41.749019,-87.624401
20607,41.908607,-87.687179
